Category,Treatment Name,Duration,Price,Current Description,Proposed Description
Faciales,Facial de Limpieza Express,30 min,$29,"Una limpieza facial para mantener tu piel libre de radicales y el estrés diario.","Regálale a tu rostro un respiro revitalizante. Esta limpieza express elimina suavemente las impurezas del día, dejando tu piel fresca, luminosa y lista para brillar. Perfecta para tu rutina semanal de autocuidado."
Faciales,Mascarilla Hidroplástica,20 min,$29,"Mascarilla Hidroplástica","Sumérgete en un baño de hidratación profunda con nuestra mascarilla hidroplástica. Este tratamiento envolvente sella la humedad en tu piel, dejándola suave como pétalos y visiblemente rejuvenecida. Un momento de calma para tu rostro."
Faciales,Tratamiento Contorno de Ojos,40 min,$39,"Tratamiento indispensable para reducir las ojeras y la inflamación provocada por el cansancio. 40 minutos $39","Despierta la luminosidad de tu mirada. Este tratamiento especializado reduce suavemente las ojeras y la hinchazón, devolviendo frescura y vitalidad al área más expresiva de tu rostro. Ideal para recuperar ese brillo natural en tu mirada."
Faciales,Facial Detox,30 min,$49,"(sin descripción)","Libera tu piel de las toxinas acumuladas con este facial purificante. Mediante técnicas suaves y productos naturales, tu rostro recuperará su equilibrio natural, luciendo más claro, saludable y lleno de vida. Una desintoxicación que se siente como un nuevo comienzo."
Faciales,Facial de Limpieza Profundo,60 min,$59,"Una limpieza facial profunda con extracción para una piel sana y radiante. 60 minutos $79","Una experiencia completa de purificación para tu rostro. Con extracción profesional y cuidados especializados, este tratamiento libera tus poros de impurezas profundas, revelando una piel clara, suave y visiblemente más saludable. Tu piel respirará con libertad."
Faciales,Facial Anti-age,60 min,$69,"(sin descripción)","Abraza el paso del tiempo con gracia y belleza. Este tratamiento antiedad combina técnicas rejuvenecedoras y activos premium para suavizar líneas finas, restaurar la firmeza y devolver a tu rostro un resplandor juvenil. Porque cada etapa de tu vida merece celebrarse con una piel radiante."
Faciales,Facial Hidratación Intensa,60 min,$69,"Frutas y Flores se fusionan para nutrir y entregar a tu piel lo mejor de la naturaleza. 60 minutos $69","Frutas y flores se fusionan en este ritual de nutrición profunda, entregando a tu piel lo mejor de la naturaleza. Cada aplicación es una caricia de hidratación que penetra hasta las capas más sedientas, dejando tu rostro suave, flexible y radiante como un jardín en primavera."
Faciales,Óvalo Perfecto,60 min,$69,"Tratamiento que redibuja el ovalo facial, ayuda a preservar sus contornos y alisar el escote.","Esculpe naturalmente los contornos de tu rostro con este tratamiento reafirmante. Mediante técnicas especializadas, redefinimos suavemente el óvalo facial, preservando su elegancia natural mientras alisamos y rejuvenecemos el escote. Un abrazo lifting para tu belleza natural."
Faciales,Facial Profundo con Aparatología,60 min,$79,"limpiador, exfoliante, tonico, desincrustante, vapor, extraccion profunda, peeling ultrasonico, alta frecuencia, microdermabrasion, mascarilla, equipo luz led, masaje facial cuello y hombros.","La experiencia facial más completa que tu piel puede recibir. Combinamos tecnología de vanguardia con técnicas artesanales: vapor purificante, extracción profunda, peeling ultrasónico, microdermabrasión y terapia LED. Incluye un relajante masaje de cuello y hombros. Tu piel emergerá transformada, luminosa y profundamente renovada."
Corporales,Hidratación Corporal,15 min,$20,"Se realiza con crema de seda en todo el cuerpo. Aplicado con leve masaje.","Envuelve todo tu cuerpo en una caricia de seda. Esta hidratación express con crema premium y suave masaje deja tu piel aterciopelada, nutrida y delicadamente perfumada. El complemento perfecto para cualquier tratamiento o como mimo rápido para tu piel."
