Category,Treatment Name,Price,Duration,Online,Menu,Widget,Top Pick,Current Description,Proposed Description
Adicionales,25 min adicionales con piedras calientes,$25,25 min,Sí,No,Sí,No,"(sin descripción)","Extiende tu experiencia de masaje con el poder terapéutico de las piedras volcánicas calientes. 25 minutos adicionales de calor profundo que derrite tensiones residuales y prolonga tu estado de relajación."
Adicionales,Contorno de Ojos - 20 min,$29,20 min,Sí,No,Sí,No,"(sin descripción)","Un tratamiento express para despertar tu mirada. En 20 minutos reducimos ojeras e hinchazón, devolviendo frescura y luminosidad al área más expresiva de tu rostro."
Adicionales,Exfoliación de pies (10min),$15,10 min,Sí,No,Sí,No,"(sin descripción)","Renueva la suavidad de tus pies con esta exfoliación express. Elimina células muertas y asperezas, dejando tus pies suaves y preparados para absorber la hidratación."
Adicionales,Extra Cráneo Facial (15 min),$20,15 min,Sí,No,Sí,No,"(sin descripción)","Añade minutos de alivio para tu cabeza y rostro. Este masaje adicional libera tensión acumulada en cuero cabelludo y músculos faciales, profundizando tu sensación de calma."
Adicionales,Extra Masaje (10 min),$15,10 min,Sí,No,Sí,No,"(sin descripción)","Diez minutos más de bienestar para las zonas que más lo necesitan. Extiende tu masaje y permite que tus músculos reciban la atención extra que merecen."
Adicionales,Extra Piedras Calientes (10 min),$15,10 min,Sí,No,Sí,No,"(sin descripción)","Prolonga el calor sanador de las piedras volcánicas. Diez minutos adicionales para que el calor penetrante continúe disolviendo tensiones profundas."
Adicionales,Extra Piedras Calientes (15 min),$20,15 min,Sí,No,Sí,No,"(sin descripción)","Quince minutos más del abrazo cálido de las piedras. Ideal para quienes desean extender los beneficios terapéuticos del calor en zonas específicas de tensión."
Adicionales,Extra por Evento de Grupo,$1,0 min,No,No,No,No,"(sin descripción)","Cargo adicional para eventos grupales especiales."
Adicionales,Led Therapy (20 min),$29,20 min,No,No,No,No,"(sin descripción)","Potencia los resultados de tu tratamiento facial con tecnología de luz LED. Esta terapia estimula la regeneración celular, reduce inflamación y mejora la apariencia general de tu piel."
Adicionales,Masaje Piernas Cansadas 20 min,$29,20 min,Sí,No,Sí,No,"(sin descripción)","Alivio rápido para piernas fatigadas. Este masaje de 20 minutos reactiva la circulación y reduce la pesadez, perfecto como complemento a cualquier tratamiento."
Adicionales,Mascarilla Varias,$15,10 min,Sí,No,Sí,No,"(sin descripción)","Personaliza tu tratamiento facial con una mascarilla seleccionada según las necesidades de tu piel. Diez minutos de nutrición concentrada."
Adicionales,Solo Cráneo Facial 20min - adicional,$29,20 min,No,No,No,No,"(sin descripción)","Un viaje de relajación que comienza en tu cuero cabelludo y fluye hacia tu rostro. Libera tensión acumulada y emerge con claridad mental renovada."
Adicionales en Cabina,10 min adicional de piedras - venta cabina,$15,10 min,No,No,No,No,"(sin descripción)","Extensión de piedras calientes disponible durante tu sesión en cabina."
Adicionales en Cabina,Contorno de Ojos - 20 min,$29,20 min,Sí,No,No,No,"(sin descripción)","Tratamiento para el área de los ojos disponible como complemento durante tu visita."
